timestamp_utc,cycle_index,step_index,commanded_heater_temp_C,step_duration_ms,gas_resistance_ohm,sensor_temperature_C,sensor_humidity_RH,pressure_Pa,backend,i2c_addr,sample_name,specimen_id,storage,notes,profile_name,profile_hash
2025-10-10T16:19:53.002894+00:00,0,1,180,150,63.89692955546909,25.1,40.0,101365.0,bme68x_i2c,0x76,Natural Air,NA1,other,Open Air trial run,Meat Freshness Sweep v1,163a995b5a23e2c5af5de02cf9d46eba16c0a61d
2025-10-10T16:19:53.002894+00:00,0,2,220,150,52.27930599992926,25.233333333333334,40.18181818181818,101285.0,bme68x_i2c,0x76,Natural Air,NA1,other,Open Air trial run,Meat Freshness Sweep v1,163a995b5a23e2c5af5de02cf9d46eba16c0a61d
2025-10-10T16:19:53.006722+00:00,0,3,260,150,44.24369793671828,25.366666666666667,40.36363636363637,101205.0,bme68x_i2c,0x76,Natural Air,NA1,other,Open Air trial run,Meat Freshness Sweep v1,163a995b5a23e2c5af5de02cf9d46eba16c0a61d
2025-10-10T16:19:53.006722+00:00,0,4,300,150,38.34453821182251,25.5,40.54545454545455,101125.0,bme68x_i2c,0x76,Natural Air,NA1,other,Open Air trial run,Meat Freshness Sweep v1,163a995b5a23e2c5af5de02cf9d46eba16c0a61d
2025-10-10T16:19:53.006722+00:00,0,5,340,150,33.83341606925515,25.633333333333333,40.72727272727273,101045.0,bme68x_i2c,0x76,Natural Air,NA1,other,Open Air trial run,Meat Freshness Sweep v1,163a995b5a23e2c5af5de02cf9d46eba16c0a61d
2025-10-10T16:19:54.003255+00:00,1,1,180,150,66.67570935355293,25.1,40.0,101365.0,bme68x_i2c,0x76,Natural Air,NA1,other,Open Air trial run,Meat Freshness Sweep v1,163a995b5a23e2c5af5de02cf9d46eba16c0a61d
2025-10-10T16:19:54.003255+00:00,1,2,220,150,54.55285310745239,25.233333333333334,40.18181818181818,101285.0,bme68x_i2c,0x76,Natural Air,NA1,other,Open Air trial run,Meat Freshness Sweep v1,163a995b5a23e2c5af5de02cf9d46eba16c0a61d
2025-10-10T16:19:54.003255+00:00,1,3,260,150,46.16010647553664,25.366666666666667,40.36363636363637,101205.0,bme68x_i2c,0x76,Natural Air,NA1,other,Open Air trial run,Meat Freshness Sweep v1,163a995b5a23e2c5af5de02cf9d46eba16c0a61d
2025-10-10T16:19:54.003255+00:00,1,4,300,150,40.00542561213176,25.5,40.54545454545455,101125.0,bme68x_i2c,0x76,Natural Air,NA1,other,Open Air trial run,Meat Freshness Sweep v1,163a995b5a23e2c5af5de02cf9d46eba16c0a61d
2025-10-10T16:19:54.003255+00:00,1,5,340,150,35.29890495188096,25.633333333333333,40.72727272727273,101045.0,bme68x_i2c,0x76,Natural Air,NA1,other,Open Air trial run,Meat Freshness Sweep v1,163a995b5a23e2c5af5de02cf9d46eba16c0a61d
